# D：库存周转 - 渠道库存周转监控表（模板，待 ERP 吉客云 / 财务月报 授权后回填）
# 数据源: ERP 吉客云 销售单明细账 & 分仓库存查询 | 财务 月度库存管理报表(drive.weixin.qq.com 登录墙)
# 生成时间: 2026-09-14 10:23 | 房间: room-xgoibqb8 | 责任人: 陈华俊 | 硬约束: 数值待取数，禁止虚构

渠道组,渠道,店铺名称,店铺编号,期末库存数量,期末库存金额(元),本期出库数量(30天),日均出库数量,周转天数(天),周转状态(超周转/周转正常/待判定),预期周转正常时间,渠道销售提升计划/保持销售,数据来源,备注
个护部,天猫,个护部天猫UNOVE柔诺伊官方旗舰店,13CHAN10030,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
个护部,天猫国际,个护部天猫UNOVE海外旗舰店,13CHAN10039,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
直播组,抖音,直播组抖音UNOVE柔诺伊官方旗舰店,13CHAN10132,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
直播组,抖音,直播组抖音UNOVE柔诺伊个人护理旗舰店,13CHAN10029,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
直播组,快手,直播组快手UNOVE柔诺伊旗舰店,13CHAN10033,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
直播组,小红书,直播组小红书UNOVE柔诺伊旗舰店,13CHAN10041,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
直供组,天猫超市,直供组天猫超市供货-UNOVE,13CHAN40025-04,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
直供组,京东,直供组商务UNOVE京东自营旗舰店,13CHAN10100,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
直供组,京东,赛燃UNOVE海外京东自营旗舰店,SAIRAN0021,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
直供组,得物,得物大贸UNOVE,XXJ019,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
零售组,拼多多,零售组拼多多UNOVE柔诺伊美容护发旗舰店,13CHAN10048,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
面护部,唯品会,面护部唯品会大贸-UNOVE,13CHAN10122,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
外贸组,外贸分销,外贸组UNOVE分销,XXJ003,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
分销组,分销,分销组UNOVE,13CHAN10058,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
线下组,线下,线下组UNOVE,13CHAN10084,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
直供组,直供分销-回款,直供组UNOVE分销-回款,XXJ025,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
KA组,KA分销,KA组UNOVE分销,13CHAN50135,,,,,,待判定,,,ERP吉客云/财务月报(待授权),
